opportunity_id,company_id,title,entry_route,level,role_family,description,typical_quals,useful_projects,application_tips,source
VOP05526,VACCC0A4AE1,Front of House Apprentice,apprenticeship,nan,customer_success,"At The Coconut Tree, we're all about warm hospitality, great food and drinks, and creating memorable experiences for our guests. This role is perfect for someone who enjoys working with people, wants to build confidence in customer service, and is keen to start a career in hospitality while earning and learning at the same time.   As an Apprentice Food & Beverage Team Member, you'll be supporte...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05527,VACBAB0C864,Front of House Apprentice,apprenticeship,nan,customer_success,"At The Coconut Tree, we're all about warm hospitality, great food and drinks, and creating memorable experiences for our guests. This role is perfect for someone who enjoys working with people, wants to build confidence in customer service, and is keen to start a career in hospitality while earning and learning at the same time.   As an Apprentice Food & Beverage Team Member, you'll be supporte...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05528,VACBAB0C864,Production Chef Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"At The Coconut Tree, we're passionate about great food, teamwork, and helping people grow. This role is ideal for someone at the start of their culinary journey who wants to learn on the job, gain a nationally recognised qualification, and build confidence in a professional kitchen.   As an Apprentice Production Chef, you'll be supported to develop practical kitchen skills while working as part...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05529,VACBAB0C864,Production Chef Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"At The Coconut Tree, we're passionate about great food, teamwork, and helping people grow. This role is ideal for someone at the start of their culinary journey who wants to learn on the job, gain a nationally recognised qualification, and build confidence in a professional kitchen.   As an Apprentice Production Chef, you'll be supported to develop practical kitchen skills while working as part...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05530,VACB11EDD34,Apprentice Groundworker,apprenticeship,Intermediate Level 2 (GCSE),technician,"As a Groundworks Apprentice, you will be involved in the essential first stages of construction projects, preparing sites, laying foundations, installing drainage, concreting, and supporting a variety of civil engineering activities.   You&rsquo;ll be working alongside experienced teams, learning the practical skills and safety procedures required to build a successful future in the industry.  ...","Communication skills,Team working,Initiative,Physical fitness,Reliable and punctual,Good manners",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05531,VACB11EDD34,Apprentice Groundworker,apprenticeship,Intermediate Level 2 (GCSE),technician,"As a Groundworks Apprentice, you will be involved in the essential first stages of construction projects, preparing sites, laying foundations, installing drainage, concreting, and supporting a variety of civil engineering activities.   You&rsquo;ll be working alongside experienced teams, learning the practical skills and safety procedures required to build a successful future in the industry.  ...","Communication skills,Team working,Initiative,Physical fitness,Reliable and punctual,Good manners",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05532,VACB11EDD34,Business Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Are you looking to start a rewarding career in administration and office support? We are seeking a motivated and organised individual to join our team as a Level 3 Business Administrator Apprentice. This apprenticeship offers a fantastic opportunity to gain practical experience in a professional office environment while developing key skills that will form the foundation of your career.   As an...,"Communication skills,IT skills,Organisation skills,Administrative skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05533,VAC258C2A26,Patents Team Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Telephone answering..  Post handling (digital and physical)..  Client reminders..  Case file makeup and data entry..  Invoice generation.,"IT skills,Attention to detail,Organisation skills,Number skills,Logical",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05534,VAC258C2A26,Patents Team Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Telephone answering.  Post handling (digital and physical).  Client reminders.  Case file makeup and data entry.  Invoice generation.,"IT skills,Attention to detail,Organisation skills,Number skills,Logical",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05535,VACDEA40795,Retail & Digital Content Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"This apprenticeship offers hands-on retail experience while developing skills in content creation for Instagram, TikTok and Facebook.  You&rsquo;ll support shop operations (service, stock control, organising national & international deliveries, other shop duties).  Customer support in-store and online.  Help support with tasting masterclasses & events.  Support with updating and improving the s...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Team working,Creative,Initiative,Patien",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05536,VACB35B8B98,Multi-Channel Marketing Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,Schedule and publish social media posts.  Create and edit basic marketing content and graphics.  Upload blogs and update website pages.  Support email campaign setup and send outs.  Monitor engagement and pull simple performance reports.  Assist with basic SEO tasks and keyword updates.  Organise marketing assets and campaign files.  Help the team with general marketing admin and coordination.,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Analytical skills,Logical,Team working,Creative,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05537,VAC7619AC64,Finance apprentice,apprenticeship,Intermediate Level 2 (GCSE),admin,Gradually learn and perform finance tasks including but not limited to:     Coding and entering purchase invoices into the accounting software - currently Quickbooks Online.  Entering payments from customers.  Answering customer queries and providing statements as required.  Reconciling supplier accounts in preparation for payment Bank and credit card reconciliations.  Preparing sales invoices ...,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05538,VACDA432EAD,Apprentice Early Years Practitioner,apprenticeship,Intermediate Level 2 (GCSE),teaching_support,"Under the guidance of senior staff, the successful candidate will be involved in working with individuals or small groups of children to support the education, personal and social development of children and establishing positive relationships to assist children&rsquo;s complete structured learning activities.   Duties may include:     Support to implement learning activities working with indiv...","Communication skills,Attention to detail,Organisation skills,Number skills,Logical,Team working,Creative,Initiative,Non judgemental",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05539,VACDA432EAD,Apprentice Early Years Practitioner,apprenticeship,Intermediate Level 2 (GCSE),teaching_support,"Under the guidance of senior staff, the successful candidate will be involved in working with individuals or small groups of children to support the education, personal and social development of children and establishing positive relationships to assist children&rsquo;s complete structured learning activities.   Duties may include:     Support to implement learning activities working with indiv...","Communication skills,Attention to detail,Organisation skills,Number skills,Logical,Team working,Creative,Initiative,Non judgemental",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05540,VACDA432EAD,Apprentice Early Years Educator,apprenticeship,Advanced Level 3 (A level),teaching_support,"Under the guidance of senior staff, the successful candidate will be involved in working with individuals or small groups of children to support the education, personal and social development of children and establishing positive relationships to assist children&rsquo;s complete structured learning activities.   Duties may include:     Support to implement learning activities working with indiv...","Communication skills,Attention to detail,Organisation skills,Number skills,Logical,Team working,Creative,Initiative,Non judgemental",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05541,VACA1ABF23E,Nursery Apprentice,apprenticeship,Advanced Level 3 (A level),teaching_support,"At Mama Bears, you will be working towards a Level 3 Early Years Educator Apprenticeship standard over the course of 15 months!   As an Apprentice you will be trained to undertake the same responsibilities as an Early Years Practitioner (Nursery Nurse).   Duties:     You will work as part of a team planning, monitoring and evaluating activities for children from birth to approximately five year...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05542,VACA1ABF23E,Nursery Apprentice,apprenticeship,Advanced Level 3 (A level),teaching_support,"At Mama Bears, you will be working towards a Level 3 Early Years Educator Apprenticeship standard over the course of 15 months!   As an Apprentice you will be trained to undertake the same responsibilities as an Early Years Practitioner (Nursery Nurse).   Duties:     You will work as part of a team planning, monitoring and evaluating activities for children from birth to approximately five year...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05543,VAC6DE3481F,Kitchen Porter Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"This role supports the smooth running of the kitchen at a secure defence site in Bristol. As a Kitchen Porter, you will help maintain high standards of cleanliness, support food preparation areas and ensure the kitchen remains safe, organised and efficient. You will work closely with the wider team to keep operations flowing, assist with deliveries and contribute to a positive, professional wor...","Customer care skills,Team working,Learner of new skills,Fast paced",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05544,VAC6DE3481F,Food Service Assistant Apprentice,apprenticeship,nan,admin,"This role supports the delivery of high-quality food and beverage services at a secure defence site in Bristol. As a Food Service Assistant, you will help ensure customers receive excellent service, food is prepared and presented to a high standard, and all areas remain clean, safe and well-organised. You will work as part of a friendly and supportive team, contributing to the smooth running of...","Customer care skills,Team working,Learner of new skills,Driven by new challenges,Fast paced",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05545,VAC704760E6,Level 3 Early Years Apprentice,apprenticeship,Advanced Level 3 (A level),teaching_support,"Your duties will include:      Assisting staff with classroom preparation, including organising resources, tidying learning areas, and supporting simple administrative tasks..  Working alongside teachers and support staff to supervise children during lessons, small-group activities, and independent learning..  Helping maintain a safe, calm environment by supporting behaviour expectations and mo...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05546,VAC08F41E2B,Apprentice Service Engineer,apprenticeship,nan,admin,"Carry out in-depth legal, regulatory and organisational inspections and examinations of a range of construction plant and equipment.  Carry out self-supervised scheduled checks, servicing and maintenance activities for construction-based equipment.  Carry out in-depth technical diagnostics on all construction-based equipment.  Decommission, dismantle, repair, adapt, upgrade, rebuild and commiss...","Communication skills,IT skills,Attention to detail,Customer care skills,Problem solving skills,Analytical skills,Team working,Initiative,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05547,VAC26516A04,Multiskilled Engineering Apprentice,apprenticeship,nan,admin,"Learning and performing daily operational and maintenance routines for Energy Centre equipment and site utilities, including Steam Boilers, LTHW Systems, domestic heating, Combined Heat and Power plant, air handling units, effluent systems, heat pumps, chillers, dust extraction systems, and associated equipment under the supervision of onsite engineers.  Receiving comprehensive training in all ...","Communication skills,Team working,Strong work ethic,Driving licence/working toward,Keen interest in Engineering",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05548,VAC70FE181D,Apprentice Building Services Engineer,apprenticeship,Advanced Level 3 (A level),technician,"The successful candidate will work alongside senior managers, project engineers, and subcontractors, supporting the delivery of high-quality mechanical and HVAC installations on a variety of construction projects.   Key Responsibilities:     Develop an understanding of engineering principles and industry practices.  Assist with the planning and coordination of mechanical and HVAC works on const...","Communication skills,IT skills,Attention to detail,Organisation skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05549,VAC70FE181D,Apprentice Building Services Engineer,apprenticeship,Advanced Level 3 (A level),technician,"The successful candidate will work alongside senior managers, project engineers, and subcontractors, supporting the delivery of high quality mechanical and HVAC installations on a variety of construction projects.   Key Responsibilities:     Develop an understanding of engineering principles and industry practices..  Assist with the planning and coordination of mechanical and HVAC works on cons...","Communication skills,IT skills,Attention to detail,Organisation skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05550,VAC70FE181D,Apprentice Building Services Engineer,apprenticeship,Advanced Level 3 (A level),technician,"The successful candidate will work alongside senior managers, project engineers, and subcontractors, supporting the delivery of high-quality mechanical and HVAC installations on a variety of construction projects.   Key Responsibilities:     Develop an understanding of engineering principles and industry practices..  Assist with the planning and coordination of mechanical and HVAC works on cons...","Communication skills,IT skills,Attention to detail,Organisation skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05551,VAC37036561,Apprentice / Trainee Contracts Manager,apprenticeship,Higher Level 4 (Higher national certificate),technician,"Monitoring site progress and supporting site teams with coordination and logistics.  Assisting with contract documentation, variations, and valuations.  Supporting health & safety compliance and quality control on site.  Attending site meetings and contributing to project reporting.  Gaining hands-on experience across multiple stages of live projects.  Liaising with clients, consultants, subcon...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05552,VAC37036561,Apprentice / Trainee Contracts Manager,apprenticeship,Higher Level 4 (Higher national certificate),technician,"Monitoring site progress and supporting site teams with coordination and logistics.  Assisting with contract documentation, variations, and valuations.  Supporting health & safety compliance and quality control on site.  Attending site meetings and contributing to project reporting.  Gaining hands-on experience across multiple stages of live projects.  Liaising with clients, consultants, subcon...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05553,VACF7763AD3,Level 3 Mechanical Engineering Apprenticeship - Lockerley/Bristol/Exeter,apprenticeship,nan,admin,"To kick start your Mechanical Engineering apprenticeship with National Gas, you&rsquo;ll begin your journey at college, developing the core mechanical principles and engineering fundamentals that will set you up for success..  One day you might be inspecting machinery, the next you might be replacing worn-out parts or helping with upgrade work. You&rsquo;ll be working with real equipment in rea...","Communication skills,Problem solving skills,Team working,Curious,Motivated,Proactive,Willing to learn",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05554,VACF7763AD3,Engineering Degree Apprentice (Bristol),apprenticeship,Degree Level 6 (Degree with honours),engineer_ops,"As an Engineering Degree Apprentice you&rsquo;ll be based out of our Bristol office, whilst travelling to sites across the region to see major engineering projects in action.  You&rsquo;ll study for your degree at Aston University while gaining hands on experience with the gas transmission network&rsquo;s electrical systems.  Throughout your apprenticeship, you&rsquo;ll build a wide range of sk...","Communication skills,Problem solving skills,Team working,Curious,Motivated,Willing to learn,Proactive",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05555,VACC9837BBC,Service / Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"This is a hands-on multi-functional role and a fantastic opportunity for someone looking to start a career in business administration or customer service within a fast-paced and fun working environment.       As part of this apprenticeship, you&rsquo;ll play a key role in supporting day-to-day operations and ensuring smooth coordination across departments.       You will gain hands-on experienc...","Communication skills,Attention to detail,Customer care skills,Administrative skills,Team working,Initiative,Ability to work under pressure",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05556,VACCCC01535,Electrical Engineering Apprenticeship,apprenticeship,Advanced Level 3 (A level),engineer_ops,"Day to day duties will include but not be limited to learning the following:     PLC&rsquo;s and fault finding.  Testing motors, drives and pumps.  General problem solving.  Safety circuits and isolators.  Develop knowledge on motors and pumps.","Communication skills,IT skills,Organisation skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05557,VACCCC01535,Mechanical Engineer Apprenticeship,apprenticeship,Advanced Level 3 (A level),engineer_ops,"Develop knowledge on motors, drives and pumps.  Problem solving.  Learn how to use a lathe and milling machine.  Basic welding.  Develop hand skills such as bench work, drilling etc..  Testing motors, drives, safety circuits, pumps, valves etc..","Communication skills,IT skills,Organisation skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05558,VAC7B0DB2E2,Adult Care Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"As an Adult Care apprentice, you will develop the skills, knowledge, and behaviours required to deliver high-quality, compassionate, person-centred care to individuals living in a Barchester home or hospital.   Interviews will take place on a rolling basis once applications are received, with the majority expected around the April half-term period. Successful candidates will join one of two int...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05559,VAC7B0DB2E2,Adult Care Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"As an Adult Care Apprentice, you will develop the skills, knowledge, and behaviours required to deliver high-quality, compassionate, person-centred care to individuals living in a Barchester home or hospital.   Interviews will take place on a rolling basis once applications are received, with the majority expected around the April half-term period. Successful candidates will join one of two int...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05560,VAC7B0DB2E2,Adult Care Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"As an Adult Care Apprentice, you will develop the skills, knowledge, and behaviours required to deliver high-quality, compassionate, person-centred care to individuals living in a Barchester home or hospital.   Interviews will take place on a rolling basis once applications are received, with the majority expected around the April half-term period. Successful candidates will join one of two int...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05561,VACD32E0DCB,Apprentice Dental Nurse - Gloucester,apprenticeship,Advanced Level 3 (A level),admin,"At Rodericks Dental Partners, you&rsquo;ll be part of a clinically led organisation where learning, teamwork, and career development are central to everything we do. While completing your apprenticeship, you'll gain real responsibility from day one.   Your role could include:     Supporting dentists and specialists in a patient-focused setting.  Assisting with surgery setup, equipment checks, a...","Administrative Skills,Analytical Skills,Attention to Detail,Customer Care Skills,Initative,IT Skills,Logical,Non judgemental,Number Skills,Organisational Skills,Patience,Physical Fitness,Presentation ",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05562,VACD0FCC8E0,Health and Social Care Apprenticeship - Cheddar,apprenticeship,Intermediate Level 2 (GCSE),care,"The Laurels Care Home is situated in the peaceful village of Draycott, 2 miles from Cheddar at the foot of the Mendips Hills. With just 21 beds, our caring and compassionate team led by the Manager, get to know each resident personally, meaning they feel truly at home at The Laurels.   Within the Care Assistant role, you can really make a difference to our residents&rsquo; lives. Your responsib...","Initative,Non judgemental,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05563,VACA80294CD,Adult Care Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"As an Adult Care Apprentice, you will develop the skills, knowledge, and behaviours required to deliver high-quality, compassionate, person-centred care to individuals living in a Barchester home or hospital.   Interviews will take place on a rolling basis once applications are received, with the majority expected around the April half-term period. Successful candidates will join one of two int...","Communication skills,Organisation skills,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05564,VACA80294CD,Adult Care Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"As an Adult Care Apprentice, you will develop the skills, knowledge, and behaviours required to deliver high-quality, compassionate, person-centred care to individuals living in a Barchester home or hospital.   Interviews will take place on a rolling basis once applications are received, with the majority expected around the April half-term period. Successful candidates will join one of two int...","Communication skills,Organisation skills,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05565,VACA80294CD,Adult Care Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"As an Adult Care Apprentice, you will develop the skills, knowledge, and behaviours required to deliver high-quality, compassionate, person-centred care to individuals living in a Barchester home or hospital.   Interviews will take place on a rolling basis once applications are received, with the majority expected around the April half-term period. Successful candidates will join one of two int...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Team working,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05566,VAC6C998DFB,Account Assistant Level 2 Apprenticeship - Cotswold Collections,apprenticeship,Intermediate Level 2 (GCSE),admin,"As an Account Apprentice, you will have a solid grasp of and ability to handle numbers and numeracy skills. You will need to complete tasks involving numerical data accurately and efficiently. You will be part of an efficient and effective accounts and finance team.   Day-to-day duties will include:     Entry of financial records and supporting role within the financial department..  Entering f...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05567,VAC6C998DFB,Account Assistant Level 2 Apprenticeship - Cotswold Collections,apprenticeship,Intermediate Level 2 (GCSE),admin,"As an Account Apprentice, you will have a solid grasp of and ability to handle numbers and numeracy skills. You will need to complete tasks involving numerical data accurately and efficiently. You will be part of an efficient and effective accounts and finance team.   Day-to-day duties will include:     Entry of financial records and supporting role within the financial department..  Entering f...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05568,VACE166A660,Business Support Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Key Responsibilities:   Sales & Business Development Support     Conduct outbound sales prospecting calls to potential commercial clients..  Update and maintain CRM systems with accurate call notes and outcomes..  Identify and qualify leads, booking appointments or call-backs where appropriate. Support the sales team with basic research on prospects and sectors..  Learn Intocleaning&rsquo;s ser...","Communication skills,IT skills,Attention to detail,Organisation skills,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05569,VAC86342CFB,IT Field Engineer Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Attending multiple and various sites per day reacting to IT support calls.  Responsible for attending customer sites, largely retail, to fix IT issues and ensure that they (our customer) can continue to trade.  Embracing the company ethos &lsquo;My Customer, My Responsibility&rsquo; at all times.  Signing in to site, completing works, signing out of site, respecting the customer.  Reviewing Hea...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Analytical skills,Logical,Team working,Full UK driving licence,",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05570,VAC208CCB5F,Apprentice Dental Nurse - Gloucestershire,apprenticeship,Advanced Level 3 (A level),admin,"Provide efficient and reliable chair-side support to the dental surgery.   The day-to-day duties of a dental nurse can span across all areas of the practice and can include:     Reception, including answering the phone and greeting patients.  Dealing with patient queries.  Taking payments.  Booking appointments and follow-ups.  Sterilising and preparing equipment for dentists.  Recording and de...","Communication skills,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Team working,Non judgemental,Patience,Patient Care",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05571,VAC208CCB5F,Apprentice Dental Nurse - Tetbury,apprenticeship,Advanced Level 3 (A level),admin,"Provide efficient and reliable chair-side support to the dental surgery.   The day-to-day duties of a dental nurse can span across all areas of the practice and can include:     Reception, including answering the phone and greeting patients.  Dealing with patient queries.  Taking payments.  Booking appointments and follow-ups.  Sterilising and preparing equipment for dentists.  Recording and de...","Communication skills,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Team working,Non judgemental,Patience,Patient Care",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05572,VAC208CCB5F,Dental Nurse Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,"Provide efficient and reliable chair-side support to the dental surgery.   The day-to-day duties of a dental nurse can span across all areas of the practice and can include:     Reception, including answering the phone and greeting patients.  Dealing with patient queries.  Taking payments.  Booking appointments and follow-ups.  Sterilising and preparing equipment for dentists.  Recording and de...","Communication skills,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Team working,Non judgemental,Patience,Patient Care",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05573,VACB60D182B,GWS Technical Engineering Apprenticeship - Exeter,apprenticeship,Advanced Level 3 (A level),engineer_ops,"Why do an apprenticeship at CBRE?     Structured Learning & Hands-On Experience: Our Level 3 Engineering Apprenticeship is designed for your success. You'll follow a structured curriculum, balancing classroom learning with hands-on experience, gaining practical skills in electrical, mechanical, and HVAC systems, building automation, and more, ensuring a well-rounded skill set.  Earn While You L...","Communication skills,Problem solving skills,Logical,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05574,VAC16AB996F,Mortgage Business Administrator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Work with our mortgage advisors (brokers) to assist them with client contact and delivering a high quality service.  Process mortgage & protection business from submission to completion.  Making sure all applications are accurate and complete, and that all supporting documentation has been provided as required by compliance.  Liaise and maintain relationships with lenders, conveyancers, and sur...","Communication skills,Attention to detail,Problem solving skills,Client-focused approach,Professional telephone manner,Professional appearance",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05575,VAC2E82EC74,Multi-Channel Marketing Apprenticeship,apprenticeship,Advanced Level 3 (A level),technician,"Update and maintain website content including homepage features, blog posts and page accuracy.  Upload and categorise products, ensuring images, descriptions and data are accurate and organised.  Schedule and create social media content, including captions and simple graphics.  Support email newsletters, seasonal campaigns and basic SEO improvements.  Research trends and competitors to inform m...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills,Logical,Team working,Creative,Initiative,Good written English,Excel / Google Sheets basics,Social media po",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05576,VAC6E81C21A,Claims Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"You&rsquo;ll answer questions, solve problems and provide a reassuring voice, whether it&rsquo;s for individuals or businesses &ndash; from market stalls to major companies. If you thrive on building relationships and have empathy in spades, this is where you can make a real difference.   Our Claims team plays a crucial part in helping customers when they need us most, making a real difference ...","Customer care skills,Problem solving skills,Analytical skills,Team working,Patience,Communication",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP05577,VAC6E81C21A,Risk and Compliance Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"From planning checks and testing processes to creating reports and supporting senior leaders, you&rsquo;ll gain hands-on experience while building confidence and communication skills.","Communication skills,Attention to detail,Problem solving skills,Analytical skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
